date,city,temperature_c,humidity_pct,wind_speed_kmh,precipitation_mm,condition
2024-03-08,London,11.5,21,59.9,24.6,Sunny
2024-03-08,Tokyo,12.8,86,39.5,4.3,Cloudy
2024-03-08,Sydney,12.8,95,58.7,37.1,Cloudy
2024-03-08,Mumbai,-2.1,45,20.3,29.7,Stormy
2024-03-08,Paris,0.5,74,43.5,13.9,Snowy
2024-03-08,Berlin,29.5,95,16.4,39.5,Snowy
2024-03-08,Toronto,37.4,65,28.5,30.2,Stormy
2024-03-08,Dubai,39.4,85,16.7,38.4,Sunny
2024-03-08,Singapore,0.5,82,29.8,31.4,Cloudy
2024-03-15,New York,-3.7,26,49.8,24.9,Sunny
2024-03-15,London,38.7,68,36.3,16.3,Rainy
2024-03-15,Tokyo,23.0,32,45.6,33.1,Foggy
2024-03-15,Sydney,29.5,79,12.1,33.1,Stormy
2024-03-15,Mumbai,17.7,89,20.6,43.0,Foggy
2024-03-15,Paris,-4.2,24,59.4,44.0,Sunny
2024-03-15,Berlin,12.3,60,51.2,22.1,Sunny
2024-03-15,Toronto,-3.5,91,39.6,39.0,Snowy
2024-03-15,Dubai,2.4,75,8.1,35.8,Stormy
2024-03-15,Singapore,29.4,92,40.5,33.0,Snowy
2024-03-22,New York,19.3,80,28.6,42.7,Foggy
2024-03-22,London,-2.5,53,29.7,48.5,Foggy
2024-03-22,Tokyo,25.4,56,19.2,1.4,Sunny
2024-03-22,Sydney,0.8,66,20.9,37.1,Sunny
2024-03-22,Mumbai,29.4,63,22.8,21.4,Rainy
2024-03-22,Paris,13.5,27,39.7,12.4,Snowy
2024-03-22,Berlin,9.0,30,54.6,3.3,Rainy
2024-03-22,Toronto,0.2,41,1.2,16.3,Stormy
2024-03-22,Dubai,24.6,74,34.1,45.1,Rainy
2024-03-22,Singapore,-4.1,80,35.3,49.3,Stormy
2024-04-01,New York,20.7,61,34.4,40.4,Sunny
2024-04-01,London,26.1,46,20.2,25.1,Partly Cloudy
2024-04-01,Tokyo,25.0,41,36.9,18.2,Stormy
2024-04-01,Sydney,4.1,29,50.4,26.8,Rainy
2024-04-01,Mumbai,6.9,58,59.8,20.1,Cloudy
2024-04-01,Paris,23.1,31,43.1,28.9,Foggy
2024-04-01,Berlin,10.2,28,34.0,26.6,Stormy
2024-04-01,Toronto,4.4,29,39.1,15.1,Partly Cloudy
2024-04-01,Dubai,8.5,89,18.8,20.7,Rainy
2024-04-01,Singapore,23.1,78,40.3,27.4,Sunny
2024-04-08,New York,23.3,86,51.8,28.8,Cloudy
2024-04-08,London,24.7,79,16.1,31.9,Partly Cloudy
2024-04-08,Tokyo,22.6,75,56.1,36.3,Sunny
2024-04-08,Sydney,18.5,66,27.7,12.0,Snowy
2024-04-08,Mumbai,25.8,58,50.6,20.5,Partly Cloudy
2024-04-08,Paris,32.4,28,38.0,42.3,Rainy
2024-04-08,Berlin,32.1,40,15.4,30.1,Stormy
2024-04-08,Toronto,5.7,39,11.5,12.3,Partly Cloudy
2024-04-08,Dubai,9.0,82,33.6,21.8,Snowy
2024-04-08,Singapore,35.8,45,9.6,6.8,Rainy
2024-04-15,New York,30.5,55,39.5,8.8,Partly Cloudy
2024-04-15,London,-3.1,82,46.9,2.8,Sunny
2024-04-15,Tokyo,9.1,58,52.0,45.0,Stormy
2024-04-15,Sydney,35.4,31,23.8,42.0,Partly Cloudy
2024-04-15,Mumbai,1.3,34,34.3,25.0,Sunny
2024-04-15,Paris,18.5,94,57.0,46.6,Rainy
2024-04-15,Berlin,17.3,31,14.3,6.1,Partly Cloudy
2024-04-15,Toronto,9.1,94,44.2,40.3,Snowy
2024-04-15,Dubai,5.6,74,13.1,5.3,Cloudy
2024-04-15,Singapore,38.6,76,24.5,43.1,Sunny
2024-04-22,New York,17.1,67,42.0,5.6,Foggy
2024-04-22,London,14.1,51,57.8,44.0,Cloudy
2024-04-22,Tokyo,11.3,67,49.3,1.1,Foggy
2024-04-22,Sydney,-3.4,26,41.4,39.4,Cloudy
2024-04-22,Mumbai,6.4,69,18.6,47.9,Rainy
2024-04-22,Paris,35.6,35,32.1,11.8,Stormy
2024-04-22,Berlin,12.5,70,55.7,45.9,Rainy
2024-04-22,Toronto,-0.9,50,17.8,43.0,Cloudy
2024-04-22,Dubai,36.2,60,52.8,38.3,Stormy
2024-04-22,Singapore,30.5,55,52.0,41.2,Stormy
2024-05-01,New York,16.2,72,55.6,16.6,Stormy
2024-05-01,London,34.5,32,49.5,34.9,Foggy
2024-05-01,Tokyo,-2.0,73,36.1,40.7,Snowy
2024-05-01,Sydney,9.7,23,45.7,32.1,Cloudy
2024-05-01,Mumbai,23.4,37,0.2,10.0,Rainy
2024-05-01,Paris,9.1,30,6.6,12.5,Snowy
2024-05-01,Berlin,38.6,36,50.8,34.3,Partly Cloudy
2024-05-01,Toronto,37.3,77,28.7,36.8,Rainy
2024-05-01,Dubai,2.8,95,49.6,40.0,Cloudy
2024-05-01,Singapore,-1.2,67,10.9,43.8,Partly Cloudy
2024-05-08,New York,34.8,48,1.2,1.1,Foggy
2024-05-08,London,24.1,49,54.4,48.7,Cloudy
2024-05-08,Tokyo,6.8,41,3.0,30.9,Foggy
2024-05-08,Sydney,6.7,31,57.5,8.5,Foggy
2024-05-08,Mumbai,0.3,87,26.1,46.0,Stormy
2024-05-08,Paris,32.2,83,7.1,35.7,Cloudy
2024-05-08,Berlin,37.6,54,17.3,24.7,Cloudy
2024-05-08,Toronto,14.4,46,36.0,49.8,Rainy
2024-05-08,Dubai,27.7,44,25.1,20.4,Cloudy
2024-05-08,Singapore,-3.7,53,14.1,22.5,Cloudy
2024-05-15,New York,11.6,78,5.1,23.4,Partly Cloudy
2024-05-15,London,9.5,70,41.2,35.7,Snowy
2024-05-15,Tokyo,14.0,52,4.4,27.8,Sunny
2024-05-15,Sydney,10.0,50,28.3,17.7,Foggy
2024-05-15,Mumbai,37.3,25,0.3,25.2,Stormy
2024-05-15,Paris,8.6,70,40.3,6.6,Foggy
2024-05-15,Berlin,-3.1,42,15.6,25.2,Rainy
2024-05-15,Toronto,34.5,36,5.4,35.5,Stormy
2024-05-15,Dubai,1.4,34,18.8,48.9,Stormy
2024-05-15,Singapore,34.2,55,44.9,46.3,Rainy
2024-05-22,New York,35.6,53,36.8,38.1,Rainy
2024-05-22,London,18.3,75,53.6,15.8,Stormy
2024-05-22,Tokyo,29.4,39,33.3,46.1,Snowy
2024-05-22,Sydney,30.9,26,11.3,2.7,Cloudy
2024-05-22,Mumbai,-3.4,53,9.8,23.4,Sunny
2024-05-22,Paris,39.8,83,2.4,17.8,Snowy
2024-05-22,Berlin,20.2,78,29.6,42.3,Partly Cloudy
2024-05-22,Toronto,1.7,64,5.6,43.4,Cloudy
2024-05-22,Dubai,32.6,85,49.4,28.2,Snowy
2024-05-22,Singapore,21.4,94,59.9,0.2,Partly Cloudy
2024-06-01,New York,20.7,73,55.2,12.3,Stormy
2024-06-01,London,25.5,62,1.6,34.1,Snowy
2024-06-01,Tokyo,0.5,67,35.4,47.6,Partly Cloudy
2024-06-01,Sydney,9.6,23,4.9,41.5,Snowy
2024-06-01,Mumbai,16.6,54,35.7,0.3,Sunny
2024-06-01,Paris,24.5,77,19.5,36.6,Snowy
2024-06-01,Berlin,35.8,92,7.8,43.2,Partly Cloudy
2024-06-01,Toronto,24.0,61,47.9,37.2,Foggy
2024-06-01,Dubai,37.8,68,5.6,12.8,Cloudy
2024-06-01,Singapore,38.4,71,5.4,42.6,Cloudy
2024-06-08,New York,12.5,71,17.1,37.6,Snowy
2024-06-08,London,1.9,58,29.5,21.6,Partly Cloudy
2024-06-08,Tokyo,36.5,36,21.5,4.8,Rainy
2024-06-08,Sydney,18.1,82,26.7,19.4,Rainy
2024-06-08,Mumbai,20.3,74,5.4,21.1,Rainy
2024-06-08,Paris,22.6,75,37.8,4.6,Foggy
2024-06-08,Berlin,10.4,79,40.6,32.4,Snowy
2024-06-08,Toronto,2.0,83,31.6,32.4,Sunny
2024-06-08,Dubai,8.1,75,4.8,40.1,Rainy
2024-06-08,Singapore,1.7,36,41.1,15.0,Cloudy
2024-06-15,New York,18.5,57,34.1,27.5,Sunny
2024-06-15,London,18.1,85,25.5,4.7,Snowy
2024-06-15,Tokyo,27.4,52,21.3,29.3,Partly Cloudy
2024-06-15,Sydney,17.7,34,44.4,23.1,Partly Cloudy
2024-06-15,Mumbai,3.2,70,2.7,20.8,Snowy
2024-06-15,Paris,8.4,95,43.4,37.9,Stormy
2024-06-15,Berlin,23.1,53,20.5,45.9,Partly Cloudy
2024-06-15,Toronto,3.4,43,4.7,49.1,Rainy
2024-06-15,Dubai,34.2,33,26.0,0.9,Stormy
2024-06-15,Singapore,0.3,41,39.3,23.0,Stormy
2024-06-22,New York,34.1,82,18.2,40.7,Foggy
2024-06-22,London,11.2,70,48.3,4.4,Cloudy
2024-06-22,Tokyo,-4.4,34,49.0,34.8,Cloudy
2024-06-22,Sydney,33.7,46,28.9,7.3,Cloudy
2024-06-22,Mumbai,14.6,88,11.5,15.0,Stormy
2024-06-22,Paris,1.7,74,1.3,8.3,Cloudy
2024-06-22,Berlin,28.2,76,57.8,23.6,Partly Cloudy
2024-06-22,Toronto,15.2,51,12.1,28.5,Partly Cloudy
2024-06-22,Dubai,12.6,62,0.5,31.5,Snowy
2024-06-22,Singapore,14.4,73,50.9,36.9,Foggy
2024-07-01,New York,27.9,57,2.2,20.0,Foggy
2024-07-01,London,21.6,82,13.9,3.0,Sunny
2024-07-01,Tokyo,14.0,60,33.2,13.4,Snowy
2024-07-01,Sydney,13.8,80,7.0,31.1,Snowy
2024-07-01,Mumbai,10.6,75,1.2,14.4,Cloudy
2024-07-01,Paris,16.1,76,13.9,11.0,Snowy
2024-07-01,Berlin,10.3,79,7.9,14.7,Snowy
2024-07-01,Toronto,12.6,73,50.0,33.7,Snowy
2024-07-01,Dubai,11.2,80,48.0,42.2,Foggy
2024-07-01,Singapore,4.3,31,40.0,6.5,Cloudy
2024-07-08,New York,2.0,82,6.1,20.8,Stormy
2024-07-08,London,8.7,46,33.4,50.0,Rainy
2024-07-08,Tokyo,34.6,65,40.6,8.7,Partly Cloudy
2024-07-08,Sydney,35.3,24,48.4,16.9,Sunny
2024-07-08,Mumbai,22.8,35,33.7,24.3,Rainy
2024-07-08,Paris,30.3,25,46.2,27.9,Cloudy
2024-07-08,Berlin,33.4,85,36.3,5.2,Sunny
2024-07-08,Toronto,36.7,76,47.9,48.1,Partly Cloudy
2024-07-08,Dubai,-0.0,33,46.9,30.5,Partly Cloudy
2024-07-08,Singapore,37.6,91,2.5,5.3,Snowy
2024-07-15,New York,0.3,46,54.7,7.9,Rainy
2024-07-15,London,26.9,84,29.9,43.5,Cloudy
2024-07-15,Tokyo,24.1,62,49.1,6.1,Cloudy
2024-07-15,Sydney,14.8,73,46.2,0.3,Partly Cloudy
2024-07-15,Mumbai,31.4,63,17.2,8.6,Rainy
2024-07-15,Paris,11.8,73,21.6,33.2,Cloudy
2024-07-15,Berlin,28.9,87,25.3,11.4,Partly Cloudy
2024-07-15,Toronto,14.3,72,53.9,47.6,Foggy
2024-07-15,Dubai,30.8,66,56.6,22.1,Partly Cloudy
2024-07-15,Singapore,-4.6,86,56.6,4.2,Rainy
2024-07-22,New York,13.1,41,26.0,19.7,Sunny
2024-07-22,London,24.7,39,54.2,2.9,Snowy
2024-07-22,Tokyo,39.1,86,58.4,21.0,Snowy
2024-07-22,Sydney,26.5,58,43.3,15.7,Rainy
2024-07-22,Mumbai,-4.6,55,54.0,30.5,Cloudy
2024-07-22,Paris,26.5,77,38.6,44.4,Foggy
2024-07-22,Berlin,30.5,76,41.8,44.4,Partly Cloudy
2024-07-22,Toronto,24.2,45,52.9,4.2,Foggy
2024-07-22,Dubai,10.1,36,31.2,27.0,Cloudy
2024-07-22,Singapore,-0.8,90,18.7,17.0,Snowy
2024-08-01,New York,2.2,23,53.4,27.0,Rainy
2024-08-01,London,5.9,58,43.6,49.3,Sunny
2024-08-01,Tokyo,27.9,67,15.6,25.4,Sunny
2024-08-01,Sydney,-2.9,35,26.9,28.6,Sunny
2024-08-01,Mumbai,15.4,50,48.3,49.5,Foggy
2024-08-01,Paris,27.2,88,50.7,11.7,Rainy
2024-08-01,Berlin,7.8,93,40.3,35.7,Foggy
2024-08-01,Toronto,28.2,33,19.7,29.1,Partly Cloudy
2024-08-01,Dubai,30.0,78,5.9,35.6,Partly Cloudy
2024-08-01,Singapore,13.5,31,3.7,44.4,Stormy
2024-08-08,New York,4.7,29,22.2,26.3,Foggy
2024-08-08,London,20.2,70,52.3,29.2,Snowy
2024-08-08,Tokyo,14.1,76,41.3,47.4,Snowy
2024-08-08,Sydney,38.8,40,8.7,6.4,Snowy
2024-08-08,Mumbai,15.6,85,51.8,5.9,Cloudy
2024-08-08,Paris,15.5,24,44.8,47.2,Rainy
2024-08-08,Berlin,36.5,35,36.1,20.4,Sunny
2024-08-08,Toronto,11.6,57,2.4,7.7,Rainy
2024-08-08,Dubai,8.7,67,18.2,24.3,Partly Cloudy
2024-08-08,Singapore,1.4,95,25.3,46.8,Rainy
2024-08-15,New York,35.0,47,11.0,37.0,Sunny
2024-08-15,London,0.5,64,4.1,2.2,Stormy
2024-08-15,Tokyo,20.8,92,27.1,16.9,Stormy
2024-08-15,Sydney,16.4,36,45.7,25.2,Stormy
2024-08-15,Mumbai,29.3,77,8.9,36.4,Sunny
2024-08-15,Paris,31.0,72,23.2,45.0,Rainy
2024-08-15,Berlin,19.3,76,44.2,32.3,Partly Cloudy
2024-08-15,Toronto,2.5,23,34.3,39.8,Snowy
2024-08-15,Dubai,8.9,35,38.6,4.3,Foggy
2024-08-15,Singapore,19.4,26,57.4,26.1,Partly Cloudy
2024-08-22,New York,16.4,22,7.2,46.8,Cloudy
2024-08-22,London,38.3,55,47.2,12.3,Snowy
2024-08-22,Tokyo,32.8,94,26.7,40.3,Foggy
2024-08-22,Sydney,9.4,95,2.7,43.1,Sunny
2024-08-22,Mumbai,10.3,43,24.9,43.0,Rainy
2024-08-22,Paris,12.2,31,6.9,5.0,Cloudy
2024-08-22,Berlin,7.8,43,15.3,4.5,Rainy
2024-08-22,Toronto,37.8,41,3.5,48.1,Cloudy
2024-08-22,Dubai,-3.8,27,17.9,4.9,Cloudy
2024-08-22,Singapore,13.6,61,15.5,47.1,Sunny
2024-09-01,New York,-2.7,50,45.1,29.3,Stormy
2024-09-01,London,17.9,84,23.1,5.8,Sunny
2024-09-01,Tokyo,9.3,90,24.4,24.2,Stormy
2024-09-01,Sydney,23.5,22,16.1,48.2,Snowy
2024-09-01,Mumbai,-0.4,91,39.1,6.3,Foggy
2024-09-01,Paris,13.3,30,50.8,25.0,Partly Cloudy
2024-09-01,Berlin,38.6,67,32.4,8.4,Cloudy
2024-09-01,Toronto,19.2,74,57.7,27.8,Sunny
2024-09-01,Dubai,-5.0,79,57.7,31.0,Snowy
2024-09-01,Singapore,38.7,20,3.6,46.1,Rainy
2024-09-08,New York,21.9,68,60.0,42.1,Cloudy
2024-09-08,London,21.3,85,16.9,8.1,Foggy
2024-09-08,Tokyo,20.3,58,5.4,34.9,Partly Cloudy
2024-09-08,Sydney,1.3,91,59.9,43.9,Cloudy
2024-09-08,Mumbai,22.5,60,53.0,47.3,Snowy
2024-09-08,Paris,6.8,77,16.4,33.1,Rainy
2024-09-08,Berlin,10.4,78,57.5,16.4,Snowy
2024-09-08,Toronto,1.0,20,36.5,0.2,Sunny
2024-09-08,Dubai,25.3,72,33.3,34.8,Stormy
2024-09-08,Singapore,29.3,88,4.9,43.8,Snowy
2024-09-15,New York,-1.5,23,53.6,40.8,Stormy
2024-09-15,London,25.3,65,58.3,18.8,Foggy
2024-09-15,Tokyo,11.1,42,50.3,40.6,Sunny
2024-09-15,Sydney,0.6,67,56.2,22.2,Cloudy
2024-09-15,Mumbai,28.4,55,40.8,35.5,Cloudy
2024-09-15,Paris,-1.0,58,48.5,11.1,Stormy
2024-09-15,Berlin,38.5,24,16.8,45.2,Snowy
2024-09-15,Toronto,22.3,20,11.8,41.1,Stormy
2024-09-15,Dubai,-0.0,55,34.1,24.7,Foggy
2024-09-15,Singapore,3.7,92,40.3,30.1,Cloudy
2024-09-22,New York,-2.1,36,44.8,6.4,Foggy
2024-09-22,London,33.5,86,43.7,13.7,Partly Cloudy
2024-09-22,Tokyo,25.5,88,36.9,34.0,Stormy
2024-09-22,Sydney,-4.9,74,38.5,47.2,Sunny
2024-09-22,Mumbai,33.4,61,26.0,49.8,Rainy
2024-09-22,Paris,0.5,86,28.0,18.1,Partly Cloudy
2024-09-22,Berlin,-3.0,48,2.8,45.9,Foggy
2024-09-22,Toronto,15.2,20,23.5,16.7,Foggy
2024-09-22,Dubai,31.3,48,58.7,21.2,Sunny
2024-09-22,Singapore,36.3,45,9.9,15.5,Snowy
2024-10-01,New York,23.1,23,28.8,40.4,Foggy
2024-10-01,London,30.9,62,50.4,12.4,Stormy
2024-10-01,Tokyo,5.7,63,50.0,41.1,Foggy
2024-10-01,Sydney,30.7,29,46.5,31.0,Partly Cloudy
2024-10-01,Mumbai,-0.7,77,34.7,4.3,Sunny
2024-10-01,Paris,36.3,68,18.8,42.4,Sunny
2024-10-01,Berlin,30.2,27,55.1,22.1,Rainy
2024-10-01,Toronto,22.5,75,3.9,33.9,Foggy
2024-10-01,Dubai,-2.7,68,24.1,30.9,Stormy
2024-10-01,Singapore,5.5,21,27.2,23.2,Stormy
2024-10-08,New York,34.6,32,20.4,46.9,Partly Cloudy
2024-10-08,London,-3.8,86,19.7,9.6,Sunny
2024-10-08,Tokyo,-4.4,28,35.6,42.0,Foggy
2024-10-08,Sydney,0.7,85,15.4,21.1,Snowy
2024-10-08,Mumbai,22.9,43,14.6,39.9,Sunny
2024-10-08,Paris,0.7,94,26.2,48.0,Partly Cloudy
2024-10-08,Berlin,11.1,94,53.1,38.8,Cloudy
2024-10-08,Toronto,16.1,63,17.5,48.5,Foggy
2024-10-08,Dubai,21.4,38,3.4,25.4,Partly Cloudy
2024-10-08,Singapore,20.2,26,25.3,9.8,Cloudy
2024-10-15,New York,23.8,45,47.1,17.1,Snowy
2024-10-15,London,16.4,79,36.0,16.6,Foggy
2024-10-15,Tokyo,20.5,62,37.0,20.9,Cloudy
2024-10-15,Sydney,-0.3,25,29.8,46.0,Snowy
2024-10-15,Mumbai,5.0,49,28.0,10.7,Stormy
2024-10-15,Paris,28.1,62,48.4,18.8,Stormy
2024-10-15,Berlin,3.3,20,21.8,3.7,Sunny
2024-10-15,Toronto,20.0,38,17.4,9.7,Foggy
2024-10-15,Dubai,36.1,66,2.6,1.5,Cloudy
2024-10-15,Singapore,7.8,48,53.1,35.9,Rainy
2024-10-22,New York,33.1,51,10.7,1.1,Partly Cloudy
2024-10-22,London,6.8,32,1.3,33.9,Stormy
2024-10-22,Tokyo,24.5,34,20.3,10.5,Stormy
2024-10-22,Sydney,5.8,67,39.7,47.1,Partly Cloudy
2024-10-22,Mumbai,39.9,75,52.7,3.3,Cloudy
2024-10-22,Paris,34.7,36,47.7,9.6,Stormy
2024-10-22,Berlin,26.2,60,36.0,48.8,Cloudy
2024-10-22,Toronto,36.4,95,11.3,26.8,Partly Cloudy
2024-10-22,Dubai,1.7,51,3.2,39.8,Partly Cloudy
2024-10-22,Singapore,0.7,85,58.1,44.3,Cloudy
2024-11-01,New York,27.7,80,47.5,30.7,Cloudy
2024-11-01,London,17.9,85,22.5,25.9,Cloudy
2024-11-01,Tokyo,9.5,67,31.5,24.2,Stormy
2024-11-01,Sydney,16.3,94,24.1,46.1,Foggy
2024-11-01,Mumbai,24.2,46,13.2,10.2,Partly Cloudy
2024-11-01,Paris,5.5,47,18.4,44.4,Foggy
2024-11-01,Berlin,2.1,67,15.3,4.2,Partly Cloudy
2024-11-01,Toronto,-1.2,76,31.1,11.5,Sunny
2024-11-01,Dubai,15.9,63,25.6,23.4,Stormy
2024-11-01,Singapore,11.5,83,19.0,19.1,Cloudy
2024-11-08,New York,14.9,53,38.7,18.0,Sunny
2024-11-08,London,8.3,84,30.8,32.2,Partly Cloudy
2024-11-08,Tokyo,7.4,49,5.9,3.6,Sunny
2024-11-08,Sydney,19.6,62,11.8,16.5,Rainy
2024-11-08,Mumbai,28.5,55,11.4,30.2,Cloudy
2024-11-08,Paris,39.9,89,54.7,0.4,Rainy
2024-11-08,Berlin,7.7,64,47.0,20.2,Stormy
2024-11-08,Toronto,32.0,21,28.3,25.6,Partly Cloudy
2024-11-08,Dubai,37.8,70,13.7,36.2,Cloudy
2024-11-08,Singapore,16.3,86,35.2,27.6,Stormy
2024-11-15,New York,27.5,79,20.4,4.3,Partly Cloudy
2024-11-15,London,3.5,73,12.6,22.5,Foggy
2024-11-15,Tokyo,-3.6,37,34.7,6.4,Snowy
2024-11-15,Sydney,-4.6,65,20.4,21.0,Snowy
2024-11-15,Mumbai,28.9,88,18.0,29.3,Foggy
2024-11-15,Paris,30.3,37,9.2,47.6,Rainy
2024-11-15,Berlin,20.6,93,52.0,49.0,Cloudy
2024-11-15,Toronto,37.7,28,32.1,9.4,Sunny
2024-11-15,Dubai,9.8,77,38.3,15.2,Cloudy
2024-11-15,Singapore,-0.3,90,10.7,41.3,Foggy
2024-11-22,New York,17.0,43,11.9,45.6,Stormy
2024-11-22,London,7.8,49,17.5,26.2,Stormy
2024-11-22,Tokyo,-2.4,86,0.7,16.3,Stormy
2024-11-22,Sydney,12.6,34,7.7,20.9,Snowy
2024-11-22,Mumbai,-1.9,46,7.8,10.3,Stormy
2024-11-22,Paris,31.8,80,9.5,28.8,Rainy
2024-11-22,Berlin,21.4,84,43.0,22.9,Cloudy
2024-11-22,Toronto,-4.7,38,26.7,41.2,Foggy
2024-11-22,Dubai,31.3,87,19.7,28.5,Stormy
2024-11-22,Singapore,15.7,93,2.3,4.6,Snowy
2024-12-01,New York,34.6,78,20.8,42.1,Partly Cloudy
2024-12-01,London,8.4,42,24.9,9.0,Foggy
